Terminal;Contrato;Cliente;Destino;CNPJ Destino;Mercadoria_generica;Identificador;Serie;Data de carregamento;Faturado em;Peso_bruto;Tara;Peso_liquido;Fluxo;Data_descarga;Numero;Serie;Data_emissao;Chave;Peso_declarado;Peso_descarregado;Peso_utilizado;Cnpj_remetente;Remetente;Municipio_remetente;Cnpj_destinatario;Destinatario;Municipio_destinatario;Data_descarga
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;337374;HPT;22/11/2020 00:48;25/11/2020 10:31;125093;28693;96400;GN29722;25/11/2020 02:08;4786;1;23/11/2020 10:19;NFe51201106315338020659550010000047861500278737;48840;48840;866;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 02:08
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;337374;HPT;22/11/2020 00:48;25/11/2020 10:31;125093;28693;96400;GN29722;25/11/2020 01:33;4806;1;23/11/2020 15:44;NFe51201106315338020659550010000048061233785718;49560;49560;49510;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 01:33
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;337374;HPT;22/11/2020 00:48;25/11/2020 10:31;125093;28693;96400;GN29722;25/11/2020 01:23;4813;1;23/11/2020 17:10;NFe51201106315338020659550010000048131393666169;48720;48720;46024;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 01:23
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;552011;HFT;22/11/2020 01:15;25/11/2020 10:31;125200;28560;96640;GN29403;09/11/2020 02:27;4308;1;07/11/2020 10:36;NFe51201106315338020659550010000043081365360681;49080;49080;48627;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 02:27
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;552011;HFT;22/11/2020 01:15;25/11/2020 10:31;125200;28560;96640;GN29403;09/11/2020 01:24;4274;1;05/11/2020 19:44;NFe51201106315338020659550010000042741165650163;50560;50560;48013;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 01:24
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8402728;HPT;22/11/2020 01:24;25/11/2020 10:31;125220;28720;96500;GN29403;09/11/2020 11:09;4293;1;06/11/2020 16:07;NFe51201106315338020659550010000042931268979767;50420;50420;8526;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 11:09
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8402728;HPT;22/11/2020 01:24;25/11/2020 10:31;125220;28720;96500;GN29403;09/11/2020 11:16;4292;1;06/11/2020 16:03;NFe51201106315338020659550010000042921503620282;51050;51050;51010;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 11:16
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8402728;HPT;22/11/2020 01:24;25/11/2020 10:31;125220;28720;96500;GN29403;09/11/2020 12:14;4275;1;05/11/2020 20:16;NFe51201106315338020659550010000042751690027730;50460;50460;36964;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 12:14
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8402884;HPT;22/11/2020 00:45;25/11/2020 10:31;125100;28696;96404;GN29722;24/11/2020 23:45;4816;1;23/11/2020 17:22;NFe51201106315338020659550010000048161031129921;50200;50200;49338;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;24/11/2020 23:45
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8402884;HPT;22/11/2020 00:45;25/11/2020 10:31;125100;28696;96404;GN29722;25/11/2020 00:58;4785;1;23/11/2020 10:14;NFe51201106315338020659550010000047851844297166;46600;46600;416;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 00:58
